pub_date,opinion_type_id,opinion_type,qmt_code
3/24/2023,1,无保留,600508.SH
3/24/2023,1,无保留,600560.SH
3/24/2023,1,无保留,600655.SH
3/24/2023,1,无保留,600892.SH
3/24/2023,1,无保留,601588.SH
3/24/2023,1,无保留,601998.SH
3/24/2023,1,无保留,002172.SZ
3/24/2023,1,无保留,601808.SH
3/24/2023,1,无保留,601898.SH
3/24/2023,1,无保留,002243.SZ
3/24/2023,1,无保留,300023.SZ
3/24/2023,1,无保留,002392.SZ
3/24/2023,1,无保留,002393.SZ
3/24/2023,1,无保留,002463.SZ
3/24/2023,1,无保留,002729.SZ
3/24/2023,1,无保留,601069.SH
3/24/2023,1,无保留,300548.SZ
3/24/2023,1,无保留,601128.SH
3/24/2023,1,无保留,603677.SH
3/24/2023,1,无保留,300801.SZ
3/24/2023,1,无保留,300883.SZ
3/24/2023,1,无保留,300828.SZ
3/24/2023,1,无保留,603719.SH
3/24/2023,1,无保留,600956.SH
3/24/2023,1,无保留,688009.SH
3/24/2023,1,无保留,605077.SH
3/24/2023,1,无保留,300999.SZ
3/24/2023,1,无保留,688314.SH
3/24/2023,1,无保留,688511.SH
3/24/2023,1,无保留,688285.SH
3/24/2023,1,无保留,688192.SH
3/24/2023,1,无保留,688353.SH
3/24/2023,1,无保留,603291.SH
3/24/2023,1,无保留,301389.SZ
3/24/2023,1,无保留,301095.SZ
3/24/2023,1,无保留,600941.SH
3/25/2023,1,无保留,000011.SZ
3/25/2023,1,无保留,000423.SZ
3/25/2023,1,无保留,000514.SZ
3/25/2023,1,无保留,000619.SZ
3/25/2023,1,无保留,000655.SZ
3/25/2023,1,无保留,000860.SZ
3/25/2023,1,无保留,001896.SZ
3/25/2023,1,无保留,000905.SZ
3/25/2023,1,无保留,000973.SZ
3/25/2023,1,无保留,000990.SZ
3/25/2023,6,未经审计,600009.SH
3/25/2023,1,无保留,600036.SH
3/25/2023,1,无保留,600061.SH
3/25/2023,1,无保留,600099.SH
3/25/2023,1,无保留,600188.SH
3/25/2023,1,无保留,600279.SH
3/25/2023,1,无保留,600300.SH
3/25/2023,1,无保留,600362.SH
3/25/2023,1,无保留,600455.SH
3/25/2023,1,无保留,600531.SH
3/25/2023,1,无保留,600548.SH
3/25/2023,1,无保留,600588.SH
3/25/2023,1,无保留,600649.SH
3/25/2023,1,无保留,600717.SH
3/25/2023,1,无保留,600750.SH
3/25/2023,1,无保留,600803.SH
3/25/2023,1,无保留,600828.SH
3/25/2023,1,无保留,600830.SH
3/25/2023,1,无保留,600835.SH
3/25/2023,2,无保留带解释性说明,600965.SH
3/25/2023,1,无保留,600965.SH
3/25/2023,1,无保留,601168.SH
3/25/2023,1,无保留,601088.SH
3/25/2023,1,无保留,601899.SH
3/25/2023,1,无保留,002226.SZ
3/25/2023,1,无保留,002237.SZ
3/25/2023,1,无保留,002253.SZ
3/25/2023,1,无保留,002362.SZ
3/25/2023,1,无保留,600999.SH
3/25/2023,1,无保留,300019.SZ
3/25/2023,1,无保留,002561.SZ
3/25/2023,1,无保留,002410.SZ
3/25/2023,1,无保留,002492.SZ
3/25/2023,1,无保留,002465.SZ
3/25/2023,1,无保留,300110.SZ
3/25/2023,1,无保留,601818.SH
3/25/2023,1,无保留,002507.SZ
3/25/2023,1,无保留,300294.SZ
3/25/2023,1,无保留,300289.SZ
3/25/2023,1,无保留,002683.SZ
3/25/2023,1,无保留,300363.SZ
3/25/2023,1,无保留,002712.SZ
3/25/2023,1,无保留,603909.SH
3/25/2023,1,无保留,603357.SH
3/25/2023,1,无保留,603079.SH
3/25/2023,1,无保留,003006.SZ
3/25/2023,1,无保留,603386.SH
3/25/2023,1,无保留,601200.SH
3/25/2023,1,无保留,301035.SZ
3/25/2023,1,无保留,601319.SH
3/25/2023,1,无保留,688366.SH
3/25/2023,1,无保留,688521.SH
3/25/2023,1,无保留,688819.SH
3/25/2023,1,无保留,688386.SH
3/25/2023,1,无保留,688269.SH
3/25/2023,1,无保留,601956.SH
